County,TemperatureChange,RainfallDeviation,WildfireRisk,DroughtSeverity,AirQualityIndex,WaterStress
Mendocino,2.73716435732469,-10.669863161852934,8.848519719656677,5.462119689470801,98.93570749282576,3.695563489806708
Yuba,2.305322257211867,-16.848457601739852,5.9410240470890106,4.353420063813372,37.66540596083825,3.5988966347484537
Lake,2.1542841619882696,-1.004619009999594,9.91319430512088,4.072138185113603,34.012094532205865,3.083393551671765
Tehama,2.06549529283194,-18.09590157183011,5.291866247333049,5.127522253272415,45.38096232956886,4.783810511266349
San Benito,2.9567471646775694,-9.256331065447895,5.629283907599952,4.031074335405228,53.856569463018886,3.6811198144084614
Tuolumne,2.307988750673383,5.785290583511042,4.42908548112035,4.3925417134030615,84.82388288148283,4.016258837557363
Calaveras,2.262705634647173,-29.48254833815433,4.793619141402614,5.643481649496216,58.96338942607501,4.40790523948615
Siskiyou,2.5317711496715942,-26.83674664414207,8.519815652940212,3.4454525755199636,86.55066274315136,3.8056234118574066
Amador,2.9495846610451824,2.027740150807311,3.2746920078676074,4.200711932412897,69.96054874958237,4.217023932170802
Lassen,2.521300735234469,-25.14513814172703,3.3734837640000794,5.335856374627741,104.64626431202082,3.329942641971071
Glenn,2.173138522560124,-9.579729228747993,4.835967391422631,3.2437769933712755,68.5949738513266,4.609829891746351
Del Norte,2.5051268058002822,-11.284219601042835,3.7767440716583165,5.028621571859772,72.38441244358879,3.9281726516544015
Colusa,2.482943566426214,-27.245466460253294,5.959106992854288,3.2491904889116854,85.53120306744668,4.986274675848478
Plumas,2.7424538288074665,-9.559415367320572,5.830295770771918,4.384594279852827,74.61361184092593,3.326166027661256
Mariposa,2.930062725604419,-19.0094552231221,3.068043130624543,4.484909278494031,53.00601430821469,4.7805608562694735
Mono,2.18144767380108,-13.55853952829348,4.180629311367888,4.522647138744232,32.88206817747187,3.170683841437415
Inyo,2.9649270092833735,-1.4075897312364525,3.4675454192851225,5.68794760432403,43.503290341999154,3.6109960731608086
Trinity,2.843944111599208,-17.511152496468362,3.4236916577584546,5.127076859485991,55.508120851724954,4.6872017334733656
Modoc,2.914903789370533,-0.9688803408716673,5.325766160003544,5.740575557958196,56.076470915544704,3.236452713361531
Sierra,2.4623943132112,6.965400888054546,4.0472400666451005,3.9569448068227593,89.50331938975438,4.225004521847163
Alpine,2.715073189171905,-10.959388874736504,5.4201736090908375,3.5217586243447565,94.68292729659221,3.2050742803550016
